사업장명,인허가일자,영업상태명,폐업일자,위생업태명,소재지도로명주소,소재지지번주소
마코,2003-04-19,폐업,2003-06-24,커피숍,,서울특별시 관악구 신림동 1641-12 지상1층 
버블엔버블티,2002-10-30,폐업,2003-07-22,커피숍,,서울특별시 관악구 신림동 1534-0 지상1층 
내츄라(Natura),2003-05-14,폐업,2003-07-30,커피숍,,서울특별시 관악구 신림동 457-20 지상2층 
명커피숍,2001-12-11,폐업,2003-10-31,커피숍,,서울특별시 관악구 신림동 1424-3 지상2층 
퍼니박스,2004-03-25,폐업,2004-04-08,커피숍,,"서울특별시 관악구 봉천동 701-1 (지상4,5층) "
로즈버드,2002-10-07,폐업,2004-06-15,커피숍,,서울특별시 관악구 신림동 1429-16 지상1층 
자이브,2003-04-08,폐업,2004-09-08,커피숍,,서울특별시 관악구 신림동 1524-0 지상1층 
띠아모,1994-08-19,폐업,2006-01-03,커피숍,,서울특별시 관악구 신림동 1639-26 
(주)아워홈서울대302공학관점,2002-12-03,폐업,2006-07-05,커피숍,,서울특별시 관악구 신림동 산 56-1 302동(제2공학관) 
GS 까폐,2005-07-27,폐업,2007-05-28,커피숍,,서울특별시 관악구 신림동 86-3 청암두산위브지하1층 
HUE space,2005-04-28,폐업,2008-03-24,커피숍,,서울특별시 관악구 신림동 1533-3 1층 
버즈커피,2006-06-08,폐업,2008-03-25,커피숍,,서울특별시 관악구 신림동 1534-2 지상1층 
그를만나러가는길,2007-02-21,폐업,2008-06-09,커피숍,,서울특별시 관악구 신림동 607-9 지상2층 
로또카페,2006-05-12,폐업,2009-05-29,커피숍,,서울특별시 관악구 남현동 1061-18 외 7필지 지상1층 1-A호 
(주)할리스에프앤비 신림점,2004-09-03,폐업,2009-09-30,커피숍,,서울특별시 관악구 신림동 1422-5 르네상스쇼핑몰 지상8층 
데니스커피,2009-11-20,폐업,2010-03-02,커피숍,,서울특별시 관악구 신림동 1451-3 지상1층 
버즈,2007-07-05,폐업,2010-04-09,커피숍,,서울특별시 관악구 봉천동 1658-4 
북카페,2009-05-22,폐업,2010-04-16,커피숍,,서울특별시 관악구 봉천동 1569-4 지상1층 
Take-Tea(테이크 티),2009-05-13,폐업,2010-06-28,커피숍,,서울특별시 관악구 봉천동 862-1 지상10층 
반얀트리,2008-05-22,폐업,2010-07-07,커피숍,,서울특별시 관악구 신림동 1544 1층 
가브리엘,2009-11-23,폐업,2010-09-16,커피숍,,서울특별시 관악구 신림동 1433-127 지상1층 
Cafe Africa,2009-08-26,폐업,2010-11-01,커피숍,,서울특별시 관악구 남현동 1061-18 르메이에르강남타운1층H-1호 
카페 프랜즈,2007-07-13,폐업,2010-11-03,커피숍,,서울특별시 관악구 신림동 1559-0 지상1층 
Denis(데니스),2010-08-30,폐업,2010-11-04,커피숍,,서울특별시 관악구 신림동 1525-4 지상1층 
시애틀,2007-03-12,폐업,2010-11-15,커피숍,,서울특별시 관악구 신림동 1536-15 지상1층 
로즈앤커피(Rose & Coffee),2009-08-06,폐업,2010-12-31,커피숍,,서울특별시 관악구 봉천동 870-13 신원메트로빌1층103호 
bean's crema,2010-12-02,폐업,2011-01-24,커피숍,,서울특별시 관악구 신림동 1536-15 
서울대학교음악대학 북카페 KAG,2009-10-30,폐업,2011-01-31,커피숍,,서울특별시 관악구 신림동 산 56-1 예능관 지상1층 
카페자라(CafeJarrah),2007-11-09,폐업,2011-04-11,커피숍,,"서울특별시 관악구 봉천동 856-1 대우디오슈페이움2단지109,110지상1층 "
반얀트리 coffee,2010-07-08,폐업,2011-04-26,커피숍,,서울특별시 관악구 신림동 1544-0 지상1층 
리빙스퀘어,2010-12-28,폐업,2011-05-23,커피숍,,서울특별시 관악구 신림동 1516-1 
커피마마,2009-04-29,폐업,2011-06-27,커피숍,,서울특별시 관악구 신림동 515-23 지상1층 
미스터로티,2010-06-24,폐업,2011-07-06,커피숍,,서울특별시 관악구 남현동 1059-16 롯데슈퍼내 
