범죄분류,발생건수(건),검거건수(건),남자검거인원(명),여자검거인원(명),미상검거인원(명),법인(개)
절도,176994,107802,77177,25024,467,12
불법사용,548,450,645,29,0,0
침입절도,6813,6011,3095,216,3,0
장물,1934,1910,2639,481,11,1
사기,233203,185556,165912,46783,3585,842
컴퓨터등사용사기,4085,1703,1651,412,26,6
부당이득,59,34,50,19,5,1
편의시설부정이용,713,530,537,116,14,22
전기통신금융사기피해금환급에관한특별법,2348,1239,992,380,13,2
보험사기방지특별법,1234,1198,1839,786,2,0
횡령,52610,27072,27748,7862,705,109
배임,4440,3609,6287,1429,476,110
배임수재,574,513,1131,86,35,4
배임증재,223,195,560,40,25,2
손괴,56556,32297,30338,4797,348,15
손괴치상,2,2,2,0,0,0
살인(기수),287,286,263,63,9,0
"살인(미수, 예비, 음모, 방조)",571,561,525,78,48,0
강도,623,627,761,81,6,0
강도상해,303,302,501,59,11,0
강도치상,19,17,25,1,0,0
강도강간/강제추행,19,21,19,0,2,0
강도살인,26,26,27,4,0,0
일반방화,1324,1196,1014,212,0,0
방화치상,22,20,20,4,0,0
방화치사,12,10,11,2,0,0
강간,5287,5181,5883,79,13,0
강제추행,15981,15389,15911,474,29,3
간음,268,265,320,6,1,0
"강간등(강간,준강간,간음,강제추행,준강제추행)",144,141,184,3,0,0
강간등상해,223,217,222,3,0,0
강간등치상,493,486,517,9,0,0
강간등살인,7,7,7,0,0,0
특수강도강간등,34,38,43,0,0,0
카메라등 이용촬영,6615,6366,5291,167,49,1
성적목적의 장소침입,422,404,397,4,0,0
통신매체 이용음란,1265,1155,1176,72,9,0
공중밀집장소 추행,2085,1936,1954,12,2,0
폭행,163858,155857,186274,39144,1453,9
폭행치상,1579,1532,1698,356,4,0
폭행치사,61,60,54,14,2,0
상해,49311,47967,61452,12267,307,12
상해치사,65,64,78,11,0,0
협박,16007,15063,15311,1925,227,7
공갈,4981,3748,4746,720,61,1
약취/유인,213,196,201,86,4,1
수수/은닉,0,0,1,0,0,0
인신매매,3,3,7,0,0,0
체포,56,45,92,14,12,0
체포치상,3,4,18,3,0,0
감금,1547,1470,1933,471,55,1
감금치상,121,123,141,31,0,0
감금치사,1,1,1,0,0,0
"폭력행위등(손괴,강요,주거침입등)",843,783,2326,571,90,3
"폭력행위등(단체등의구성, 활동)",140,129,582,20,16,0
통화,2798,533,511,23,29,0
유가증권·인지·우표,312,226,331,58,17,0
문서,15369,12810,12732,4514,723,134
인장,1023,920,508,77,16,2
직무유기,1316,709,788,149,1126,13
직권남용,1372,801,945,107,1123,11
수뢰,762,684,1046,96,115,6
증뢰,395,366,609,37,20,5
도박,8797,8640,19895,3982,38,1
복표,2,2,3,0,0,0
신앙,323,259,398,92,36,0
공연음란,3039,2507,2435,56,6,0
과실치상,2536,2246,1770,778,53,0
과실치사,47,42,40,22,3,0
업무상과실치상,2244,2139,2663,536,64,27
업무상과실치사,1241,1231,1936,209,33,59
실화,2351,1892,1668,405,4,0
명예,26054,21231,21457,8480,2574,32
권리행사방해,12182,10016,10233,2869,154,27
신용업무경매,22744,21979,24161,4531,617,56
주거침입,11966,8992,8502,2360,183,0
비밀침해,113,69,62,25,30,1
유기,282,136,52,151,5,1
유기치상,2,2,0,2,0,0
유기치사,28,26,17,20,0,0
교통방해,1388,1315,1478,235,22,2
공무방해,12773,12573,12614,1940,94,11
공무방해치상,153,149,147,11,0,0
도주와범인은닉,546,527,731,233,16,2
위증과증거인멸,3629,3114,3176,1126,121,12
무고,5752,4803,4213,2450,312,13
공안을해하는죄,78,71,192,40,27,1
내란의죄,20,15,2,3,37,0
음용수에관한죄,21,17,23,0,1,0
일수와수리에관한죄,7,5,7,0,0,0
기타,45,39,29,36,9,1
가정폭력범죄의 처벌등에 관한특례법,197,192,184,8,0,0
가축분뇨의 관리 및 이용에 관한법률,829,824,807,84,10,101
